A00144	08-01-01 08-01-02 08-01-03 08-02-08 08-02-09 08-02-10 08-02-11 08-02-12 08-02-13 08-02-14 08-02-15 08-03-01 08-03-02 08-03-03 08-04-01 08-04-02 08-04-03 08-04-04 08-04-05 08-04-06 08-04-07 08-04-08 08-04-09 08-04-10 08-04-11 08-04-12 08-04-13 08-04-15
A00145	08-01-01 08-01-02 08-01-03 08-02-01 08-02-02 08-02-03 08-02-04 08-02-05 08-02-06 08-02-07 08-02-11 08-02-12 08-02-14 08-03-01 08-03-02 08-04-02 08-04-03 08-04-04 08-04-05 08-04-06 08-04-07 08-04-08 08-04-09 08-04-10 08-04-11 08-04-13 08-04-14 08-04-15
A00146	08-01-01 08-01-02 08-01-03 08-02-11 08-04-12 08-04-13 08-04-14
A00147	08-01-01 08-01-02 08-01-03 08-03-02 08-04-14
A00148	08-01-03 08-04-03 08-04-04 08-04-05 08-04-06 08-04-07 08-04-08 08-04-09 08-04-10 08-04-11 08-04-14 08-04-15
A00173	08-A9-01 08-A9-02
A00174	08-10-01 08-10-02
A00369	08-01-01 08-01-02 08-01-03
